利润率,记录数,制造商,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 Id,订单日期,邮寄方式,销售额
-37%,1,OIC,"OIC 夹子, 金属",-￥102,2016/7/23,中国,华东,苏州,系固件,武欢,40%,5,江苏,办公用品,小型企业,US-2016-2556865,2016/7/19,标准级,￥278
-28%,1,诺基亚,"诺基亚 耳机, 混合尺寸",-￥121,2016/7/23,中国,华东,苏州,电话,武欢,40%,2,江苏,技术,小型企业,US-2016-2556865,2016/7/19,标准级,￥425
27%,1,Fellowes,"Fellowes 搁板, 蓝色",￥437,2016/7/23,中国,华东,苏州,收纳具,武欢,0%,6,江苏,办公用品,小型企业,US-2016-2556865,2016/7/19,标准级,"￥1,620"
1%,1,Fellowes,"Fellowes 锁柜, 金属",￥19,2016/7/23,中国,华东,苏州,收纳具,武欢,0%,2,江苏,办公用品,小型企业,US-2016-2556865,2016/7/19,标准级,"￥1,926"
41%,1,Smead,"Smead 文件夹, 蓝色",￥100,2016/6/11,中国,西南,重庆,收纳具,戴武,0%,3,重庆,办公用品,消费者,CN-2016-3562924,2016/6/6,标准级,￥245
39%,1,Deflect-O,"Deflect-O 灯泡, 一包多件",￥138,2016/7/27,中国,西北,西宁,用具,谷莲,0%,4,青海,家具,公司,CN-2016-1638210,2016/7/24,一级,￥356
21%,1,Tenex,"Tenex 文件夹, 蓝色",￥45,2014/5/18,中国,华东,扬州,收纳具,麦实,0%,2,江苏,办公用品,公司,CN-2014-2136895,2014/5/13,标准级,￥217
-27%,1,松下,"松下 卡片打印机, 多色","-￥1,169",2014/5/18,中国,华东,扬州,设备,麦实,40%,9,江苏,技术,公司,CN-2014-2136895,2014/5/13,标准级,"￥4,380"
49%,1,Hon,"Hon 运输标签, 耐用",￥54,2016/7/3,中国,东北,洮南,标签,陶聪,0%,2,吉林,办公用品,消费者,CN-2016-1498643,2016/6/27,标准级,￥110
46%,1,Enermax,"Enermax 记忆卡, 耐用",￥984,2016/7/3,中国,东北,洮南,配件,陶聪,0%,4,吉林,技术,消费者,CN-2016-1498643,2016/6/27,标准级,"￥2,139"
41%,1,Smead,"Smead 文件夹, 蓝色",￥134,2016/7/3,中国,东北,洮南,收纳具,陶聪,0%,4,吉林,办公用品,消费者,CN-2016-1498643,2016/6/27,标准级,￥326
39%,1,Memorex,"Memorex 记忆卡, 回收","￥1,275",2017/10/21,中国,东北,长春,配件,谭忠,0%,7,吉林,技术,小型企业,CN-2017-3478143,2017/10/15,标准级,"￥3,269"
8%,1,Advantus,"Advantus 按钉, 每包 12 个",￥25,2017/10/21,中国,东北,长春,系固件,谭忠,0%,5,吉林,办公用品,小型企业,CN-2017-3478143,2017/10/15,标准级,￥323
43%,1,Rubbermaid,"Rubvermaid 灯泡, 耐用",￥95,2014/10/26,中国,东北,宝山,用具,付立,0%,3,黑龙江,家具,消费者,CN-2014-5250870,2014/10/21,标准级,￥222
20%,1,Stockwell,"Stockwell 回形针, 混合尺寸",￥51,2014/10/26,中国,东北,宝山,系固件,付立,0%,5,黑龙江,办公用品,消费者,CN-2014-5250870,2014/10/21,标准级,￥256
42%,1,Bush,"Bush 书架, 白色",￥988,2014/10/26,中国,东北,宝山,书架,付立,0%,4,黑龙江,家具,消费者,CN-2014-5250870,2014/10/21,标准级,"￥2,353"
14%,1,Breville,"Breville 炉灶, 白色","￥2,193",2014/7/5,中国,华北,太原,器具,韩凤,0%,6,山西,办公用品,小型企业,CN-2014-3640405,2014/7/2,一级,"￥15,671"
28%,1,Kraft,"Kraft 外皮和封条, 回收",￥25,2014/7/5,中国,华北,太原,信封,韩凤,0%,1,山西,办公用品,小型企业,CN-2014-3640405,2014/7/2,一级,￥90
47%,1,SanDisk,"SanDisk 记忆卡, 回收",￥242,2014/7/5,中国,华北,太原,配件,韩凤,0%,1,山西,技术,小型企业,CN-2014-3640405,2014/7/2,一级,￥514
-255%,1,Stanley,"Stanley 荧光笔, 金属",-￥114,2014/10/10,中国,中南,武汉,美术,彭博,80%,3,湖北,办公用品,公司,US-2014-5360498,2014/10/6,二级,￥45
0%,1,Tenex,"Tenex 文件夹, 工业",￥0,2014/10/10,中国,中南,武汉,收纳具,彭博,0%,1,湖北,办公用品,公司,US-2014-5360498,2014/10/6,二级,￥111
-12%,1,Accos,"Accos 回形针, 混合尺寸",-￥19,2014/10/10,中国,中南,武汉,系固件,彭博,40%,5,湖北,办公用品,公司,US-2014-5360498,2014/10/6,二级,￥161
-25%,1,Lesro,"Lesro 培训桌, 白色",-￥127,2014/4/18,中国,华东,淮阴,桌子,蔡梦,60%,1,江苏,家具,消费者,US-2014-5801711,2014/4/14,二级,￥506
22%,1,Stockwell,"Stockwell 橡皮筋, 整包",￥34,2016/12/4,中国,东北,大庆,系固件,钱伟,0%,2,黑龙江,办公用品,公司,CN-2016-5838362,2016/11/30,标准级,￥154
19%,1,Acco,"Acco 装订机盖, 实惠",￥94,2016/12/4,中国,东北,大庆,装订机,钱伟,0%,8,黑龙江,办公用品,公司,CN-2016-5838362,2016/11/30,标准级,￥497
33%,1,Advantus,"Advantus 橡皮筋, 整包",￥25,2014/11/22,中国,中南,广州,系固件,邱荷,0%,1,广东,办公用品,消费者,US-2014-3930358,2014/11/18,标准级,￥77
-18%,1,Acme,"Acme 修剪器, 工业",-￥71,2017/5/23,中国,东北,沈阳,用品,蔡晨,40%,3,辽宁,办公用品,消费者,US-2017-5353587,2017/5/18,标准级,￥388
-48%,1,宜家,"宜家 墙角架, 黑色",-￥337,2017/5/23,中国,东北,沈阳,书架,蔡晨,40%,2,辽宁,家具,消费者,US-2017-5353587,2017/5/18,标准级,￥697
38%,1,Cameo,"Cameo 局间信封, 每套 50 个",￥252,2017/5/23,中国,东北,沈阳,信封,蔡晨,0%,3,辽宁,办公用品,消费者,US-2017-5353587,2017/5/18,标准级,￥664
-57%,1,Enermax,"Enermax 鼠标, 可编程",-￥465,2017/5/23,中国,东北,沈阳,配件,蔡晨,40%,7,辽宁,技术,消费者,US-2017-5353587,2017/5/18,标准级,￥819
7%,1,Safco,"SAFCO 凳子, 黑色",￥231,2016/6/15,中国,中南,河源,椅子,罗嫒,10%,5,广东,家具,小型企业,CN-2016-1398198,2016/6/11,标准级,"￥3,476"
11%,1,Safco,"Safco 书库, 金属",￥400,2016/6/15,中国,中南,河源,书架,罗嫒,0%,2,广东,家具,小型企业,CN-2016-1398198,2016/6/11,标准级,"￥3,633"
14%,1,Elite,"Elite 大剪刀, 工业",￥285,2014/8/12,中国,西北,西安,用品,陶惠,0%,9,陕西,办公用品,小型企业,CN-2014-1608087,2014/8/10,二级,"￥2,042"
43%,1,SanDisk,"SanDisk 鼠标, 耐用",￥155,2014/8/12,中国,西北,西安,配件,陶惠,0%,2,陕西,技术,小型企业,CN-2014-1608087,2014/8/10,二级,￥360
-19%,1,Ibico,"Ibico 装订机, 实惠",-￥88,2015/10/13,中国,西南,成都,装订机,秦君,40%,11,四川,办公用品,小型企业,US-2015-5491871,2015/10/12,一级,￥477
27%,1,Fellowes,"Fellowes 搁板, 蓝色",￥218,2015/10/13,中国,西南,成都,收纳具,秦君,0%,3,四川,办公用品,小型企业,US-2015-5491871,2015/10/12,一级,￥810
-64%,1,Acco,"Acco 孔加固材料, 回收",-￥38,2015/10/13,中国,西南,成都,装订机,秦君,40%,3,四川,办公用品,小型企业,US-2015-5491871,2015/10/12,一级,￥59
4%,1,Hon,"Hon 圆形标签, 白色",￥2,2017/5/25,中国,华北,北京,标签,陈忠,0%,2,北京,办公用品,公司,CN-2017-1246652,2017/5/23,一级,￥62
-40%,1,Hon,"Hon 椅垫, 黑色",-￥179,2016/5/15,中国,东北,西丰,椅子,肖崆,40%,3,辽宁,家具,消费者,US-2016-1103148,2016/5/9,标准级,￥446
-47%,1,Hewlett,"Hewlett 墨水, 彩色",-￥785,2016/5/15,中国,东北,西丰,复印机,肖崆,40%,4,辽宁,技术,消费者,US-2016-1103148,2016/5/9,标准级,"￥1,681"
19%,1,Safco,"SAFCO 扶手椅, 黑色","￥1,092",2016/12/9,中国,中南,汕头,椅子,孟虢,10%,3,广东,家具,消费者,US-2016-2286344,2016/12/5,标准级,"￥5,783"
50%,1,Tenex,"Tenex 锁柜, 蓝色","￥2,858",2017/5/14,中国,中南,洛阳,收纳具,田江丽,0%,6,河南,办公用品,公司,CN-2017-3832812,2017/5/8,标准级,"￥5,716"
22%,1,Wilson Jones,"Wilson Jones 装订机, 实惠",￥40,2017/5/14,中国,中南,洛阳,装订机,田江丽,0%,3,河南,办公用品,公司,CN-2017-3832812,2017/5/8,标准级,￥182
46%,1,Fellowes,"Fellowes 搁板, 工业",￥375,2017/3/28,中国,华东,景德镇,收纳具,顾黎明,0%,3,江西,办公用品,消费者,CN-2017-2548759,2017/3/24,标准级,￥816
19%,1,Harbour Creations,"Harbour Creations 扶手椅, 每套两件","￥2,109",2017/3/28,中国,华东,景德镇,椅子,顾黎明,0%,5,江西,家具,消费者,CN-2017-2548759,2017/3/24,标准级,"￥11,103"
31%,1,SanDisk,"SanDisk 备忘录便条, 多色",￥80,2017/3/28,中国,华东,景德镇,纸张,顾黎明,0%,3,江西,办公用品,消费者,CN-2017-2548759,2017/3/24,标准级,￥257
24%,1,松下,"松下 卡片打印机, 多色",￥584,2017/4/4,中国,东北,泰来,设备,邱廉,0%,3,黑龙江,技术,公司,CN-2017-4318875,2017/3/31,标准级,"￥2,433"
19%,1,Boston,"Boston 记号笔, 蓝色",￥55,2017/4/4,中国,东北,泰来,美术,邱廉,20%,3,黑龙江,办公用品,公司,CN-2017-4318875,2017/3/31,标准级,￥295
0%,1,Advantus,"Advantus 灯泡, 耐用",￥0,2017/4/4,中国,东北,泰来,用具,邱廉,0%,3,黑龙江,家具,公司,CN-2017-4318875,2017/3/31,标准级,￥239
22%,1,Tenex,"Tenex 相框, 黑色",￥160,2017/4/4,中国,东北,泰来,用具,邱廉,0%,3,黑龙江,家具,公司,CN-2017-4318875,2017/3/31,标准级,￥726
31%,1,Kleencut,"Kleencut 剪刀, 锯齿状",￥110,2017/4/4,中国,东北,泰来,用品,邱廉,0%,4,黑龙江,办公用品,公司,CN-2017-4318875,2017/3/31,标准级,￥354
36%,1,Stiletto,"Stiletto 尺子, 蓝色",￥75,2015/6/18,中国,华东,菏泽,用品,楚伟,0%,3,山东,办公用品,公司,CN-2015-1966627,2015/6/18,当日,￥208
38%,1,Boston,"Boston 荧光笔, 蓝色",￥100,2015/6/18,中国,华东,菏泽,美术,楚伟,0%,3,山东,办公用品,公司,CN-2015-1966627,2015/6/18,当日,￥264
1%,1,Elite,"Elite 开信刀, 蓝色",￥1,2015/6/18,中国,华东,菏泽,用品,楚伟,0%,1,山东,办公用品,公司,CN-2015-1966627,2015/6/18,当日,￥127
15%,1,Hamilton Beach,"Hamilton Beach 微波炉, 红色",￥395,2015/6/18,中国,华东,菏泽,器具,楚伟,0%,2,山东,办公用品,公司,CN-2015-1966627,2015/6/18,当日,"￥2,637"
28%,1,SanDisk,"SanDisk 备忘录便条, 回收",￥66,2017/7/15,中国,东北,依兰,纸张,陶莞颖,0%,3,黑龙江,办公用品,公司,CN-2017-3497234,2017/7/10,标准级,￥236
17%,1,Cuisinart,"Cuisinart 烤面包机, 白色",￥164,2017/4/16,中国,中南,信宜,器具,施黎明,0%,4,广东,办公用品,消费者,CN-2017-2805987,2017/4/10,标准级,￥963
33%,1,Fiskars,"Fiskars 尺子, 锯齿状",￥85,2017/4/16,中国,中南,信宜,用品,施黎明,0%,5,广东,办公用品,消费者,CN-2017-2805987,2017/4/10,标准级,￥260
26%,1,SanDisk,"SanDisk 路由器, 回收",￥617,2017/4/16,中国,中南,信宜,配件,施黎明,0%,2,广东,技术,消费者,CN-2017-2805987,2017/4/10,标准级,"￥2,372"
23%,1,Rubbermaid,"Rubvermaid 门挡, 优质",￥91,2017/4/16,中国,中南,信宜,用具,施黎明,0%,2,广东,家具,消费者,CN-2017-2805987,2017/4/10,标准级,￥396
0%,1,Binney & Smith,"Binney & Smith 铅笔刀, 混合尺寸",￥0,2017/4/16,中国,中南,信宜,美术,施黎明,20%,7,广东,办公用品,消费者,CN-2017-2805987,2017/4/10,标准级,￥780
-25%,1,Brother,"Brother 传真复印机, 每套两件",-￥671,2015/9/24,中国,东北,鞍山,复印机,蒋安,40%,5,辽宁,技术,小型企业,CN-2015-3649263,2015/9/22,二级,"￥2,681"
23%,1,Office Star,"Office Star 沙滩椅, 可调",￥186,2015/11/3,中国,华东,济南,椅子,陶武,0%,3,山东,家具,公司,CN-2015-1318873,2015/10/30,标准级,￥811
11%,1,Jiffy,"Jiffy 搭扣信封, 回收",￥15,2015/11/3,中国,华东,济南,信封,陶武,0%,4,山东,办公用品,公司,CN-2015-1318873,2015/10/30,标准级,￥137
22%,1,Novimex,"Novimex 摇椅, 每套两件",￥960,2015/11/3,中国,华东,济南,椅子,陶武,0%,7,山东,家具,公司,CN-2015-1318873,2015/10/30,标准级,"￥4,367"
6%,1,GlobeWeis,"GlobeWeis 外皮和封条, 每套 50 个",￥6,2016/5/18,中国,西南,西昌,信封,洪黎明,0%,1,四川,办公用品,消费者,CN-2016-4373153,2016/5/15,二级,￥100
42%,1,Bush,"Bush 书架, 白色",￥494,2014/3/26,中国,华东,枣庄,书架,邹丽雪,0%,2,山东,家具,小型企业,CN-2014-2274876,2014/3/23,二级,"￥1,176"
31%,1,Advantus,"Advantus 分层置放架, 耐用",￥67,2017/4/12,中国,华北,石家庄,用具,邓姝,0%,2,河北,家具,消费者,CN-2017-5480180,2017/4/8,标准级,￥218
15%,1,Ames,"Ames 外皮和封条, 每套 50 个",￥39,2017/4/12,中国,华北,石家庄,信封,邓姝,0%,3,河北,办公用品,消费者,CN-2017-5480180,2017/4/8,标准级,￥262
35%,1,松下,"松下 收据打印机, 耐用",￥198,2017/4/12,中国,华北,石家庄,设备,邓姝,0%,1,河北,技术,消费者,CN-2017-5480180,2017/4/8,标准级,￥565
7%,1,Enermax,"Enermax 鼠标, 耐用",￥79,2016/12/22,中国,华北,塘沽,配件,韦磊,0%,6,天津,技术,小型企业,CN-2016-1179561,2016/12/17,二级,"￥1,134"
-250%,1,Boston,"Boston 记号笔, 混合尺寸",-￥138,2014/11/6,中国,华北,满洲里,美术,谭君,80%,2,内蒙古,办公用品,公司,US-2014-2911207,2014/11/4,二级,￥55
-22%,1,贝尔金,"贝尔金 鼠标, 实惠",-￥50,2017/7/12,中国,西南,成都,配件,陶巧,40%,2,四川,技术,消费者,CN-2017-5569894,2017/7/7,标准级,￥228
36%,1,Hewlett,"Hewlett 复印机, 红色","￥1,320",2016/8/13,中国,华东,即墨,复印机,苏涛,0%,3,山东,技术,消费者,CN-2016-3351509,2016/8/8,标准级,"￥3,666"
2%,1,Avery,"Avery 孔加固材料, 耐用",￥1,2016/8/13,中国,华东,即墨,装订机,苏涛,0%,2,山东,办公用品,消费者,CN-2016-3351509,2016/8/8,标准级,￥55
8%,1,Wilson Jones,"Wilson Jones 打孔机, 实惠",￥52,2014/9/12,中国,华东,莆田,装订机,龙谦,0%,5,福建,办公用品,消费者,CN-2014-2098822,2014/9/10,一级,￥653
36%,1,Wilson Jones,"Wilson Jones 装订机, 回收",￥67,2014/9/12,中国,华东,莆田,装订机,龙谦,0%,3,福建,办公用品,消费者,CN-2014-2098822,2014/9/10,一级,￥187
10%,1,夏普,"夏普 墨水, 红色",￥114,2014/9/12,中国,华东,莆田,复印机,龙谦,0%,2,福建,技术,消费者,CN-2014-2098822,2014/9/10,一级,"￥1,144"
7%,1,Fellowes,"Fellowes 文件夹, 金属",￥17,2014/9/12,中国,华东,莆田,收纳具,龙谦,0%,2,福建,办公用品,消费者,CN-2014-2098822,2014/9/10,一级,￥238
12%,1,Tenex,"Tenex 分层置放架, 一包多件",￥42,2014/4/12,中国,西南,贵阳,用具,陶武,0%,3,贵州,家具,公司,CN-2014-3097655,2014/4/7,二级,￥354
28%,1,Jiffy,"Jiffy 商业信封, 回收",￥96,2016/5/28,中国,华东,浦阳,信封,巩辉,0%,5,浙江,办公用品,消费者,CN-2016-4347413,2016/5/25,一级,￥344
-27%,1,Stockwell,"Stockwell 订书钉, 金属",-￥63,2016/9/14,中国,华东,上虞,系固件,邓珊,40%,8,浙江,办公用品,消费者,US-2016-5837615,2016/9/11,一级,￥236
-55%,1,OIC,"OIC 订书钉, 金属",-￥107,2016/9/14,中国,华东,上虞,系固件,邓珊,40%,6,浙江,办公用品,消费者,US-2016-5837615,2016/9/11,一级,￥193
-67%,1,Acco,"Acco 装订机, 透明",-￥27,2017/9/15,中国,中南,仙桃,装订机,巩嫒,40%,1,湖北,办公用品,公司,US-2017-1297686,2017/9/11,标准级,￥41
-32%,1,Wilson Jones,"Wilson Jones 打孔机, 透明",-￥171,2015/11/8,中国,华北,乌达,装订机,程蔓楚,40%,7,内蒙古,办公用品,消费者,CN-2015-1187433,2015/11/2,标准级,￥538
17%,1,Hoover,"Hoover 冰箱, 白色",￥489,2015/11/8,中国,华北,乌达,器具,程蔓楚,40%,2,内蒙古,办公用品,消费者,CN-2015-1187433,2015/11/2,标准级,"￥2,937"
32%,1,Harbour Creations,"Harbour Creations 合法证物标签, 红色",￥48,2017/4/25,中国,华东,镇江,标签,佟虹,0%,3,江苏,办公用品,小型企业,CN-2017-1398732,2017/4/21,标准级,￥151
15%,1,Stiletto,"Stiletto 剪刀, 钢",￥32,2017/10/22,中国,华东,南昌,用品,田丹,0%,2,江西,办公用品,消费者,CN-2017-3640405,2017/10/17,标准级,￥215
21%,1,Safco,"SAFCO 椅垫, 红色",￥176,2017/10/22,中国,华东,南昌,椅子,田丹,0%,3,江西,家具,消费者,CN-2017-3640405,2017/10/17,标准级,￥837
5%,1,Kraft,"Kraft 马尼拉纸信封, 红色",￥21,2017/10/22,中国,华东,南昌,信封,田丹,0%,3,江西,办公用品,消费者,CN-2017-3640405,2017/10/17,标准级,￥420
12%,1,摩托罗拉,"摩托罗拉 充电器, 混合尺寸",￥723,2016/3/6,中国,华北,唐山,电话,陶惠,0%,2,河北,技术,小型企业,CN-2016-3847012,2016/3/1,标准级,"￥6,025"
0%,1,Advantus,"Advantus 灯泡, 耐用",￥0,2016/3/6,中国,华北,唐山,用具,陶惠,0%,4,河北,家具,小型企业,CN-2016-3847012,2016/3/1,标准级,￥319
35%,1,Eldon,"Eldon 盒, 蓝色",￥50,2016/3/6,中国,华北,唐山,收纳具,陶惠,0%,3,河北,办公用品,小型企业,CN-2016-3847012,2016/3/1,标准级,￥144
15%,1,Ames,"Ames 外皮和封条, 每套 50 个",￥26,2016/5/30,中国,华东,济南,信封,邱梦,0%,2,山东,办公用品,消费者,US-2016-1815663,2016/5/26,标准级,￥174
21%,1,Enermax,"Enermax 信纸, 每包 12 个",￥150,2016/5/30,中国,华东,济南,纸张,邱梦,0%,3,山东,办公用品,消费者,US-2016-1815663,2016/5/26,标准级,￥717
23%,1,Office Star,"Office Star 沙滩椅, 可调",￥124,2016/8/11,中国,华北,唐山,椅子,曾辉,0%,2,河北,家具,消费者,CN-2016-2998954,2016/8/6,标准级,￥541
46%,1,宜家,"宜家 柜, 黑色",￥617,2016/8/11,中国,华北,唐山,书架,曾辉,0%,2,河北,家具,消费者,CN-2016-2998954,2016/8/6,标准级,"￥1,342"
22%,1,Avery,"Avery 运输标签, 耐用",￥50,2016/8/11,中国,华北,唐山,标签,曾辉,0%,4,河北,办公用品,消费者,CN-2016-2998954,2016/8/6,标准级,￥228
43%,1,Office Star,"Office Star 摇椅, 可调",￥863,2017/8/31,中国,华东,上海,椅子,万冬露,0%,3,上海,家具,消费者,CN-2017-5834341,2017/8/25,标准级,"￥2,008"
7%,1,Acme,"Acme 剪刀, 锯齿状",￥43,2016/6/11,中国,东北,吉林市,用品,韦君,0%,6,吉林,办公用品,公司,CN-2016-3852845,2016/6/7,标准级,￥620
2%,1,BIC,"BIC 铅笔刀, 混合尺寸",￥9,2016/6/11,中国,东北,吉林市,美术,韦君,20%,3,吉林,办公用品,公司,CN-2016-3852845,2016/6/7,标准级,￥361
-10%,1,Avery,"Avery 装订机, 耐用",-￥12,2015/10/29,中国,华东,杭州,装订机,佟斯云,40%,3,浙江,办公用品,小型企业,US-2015-2353754,2015/10/23,标准级,￥121
-34%,1,Ibico,"Ibico 标签, 耐用",-￥49,2015/10/29,中国,华东,杭州,装订机,佟斯云,40%,5,浙江,办公用品,小型企业,US-2015-2353754,2015/10/23,标准级,￥146
37%,1,Rubbermaid,"Rubvermaid 门挡, 一包多件",￥76,2017/9/11,中国,华北,天津,用具,葛欢,0%,1,天津,家具,公司,CN-2017-4800042,2017/9/7,标准级,￥205
18%,1,Sanford,"Sanford 铅笔刀, 蓝色",￥43,2017/9/11,中国,华北,天津,美术,葛欢,0%,2,天津,办公用品,公司,CN-2017-4800042,2017/9/7,标准级,￥241
-14%,1,BIC,"BIC 钢笔, 整包",-￥15,2016/12/20,中国,中南,平顶山,美术,庄丹,20%,2,河南,办公用品,消费者,US-2016-4902997,2016/12/16,标准级,￥109
35%,1,BIC,"BIC 钢笔, 金属",￥101,2015/10/29,中国,中南,长沙,美术,段强,20%,5,湖南,办公用品,公司,CN-2015-5300830,2015/10/24,标准级,￥290
39%,1,Fiskars,"Fiskars 开信刀, 钢",￥149,2015/10/29,中国,中南,长沙,用品,段强,0%,3,湖南,办公用品,公司,CN-2015-5300830,2015/10/24,标准级,￥383
5%,1,GlobeWeis,"GlobeWeis 外皮和封条, 回收",￥9,2015/10/29,中国,中南,长沙,信封,段强,0%,2,湖南,办公用品,公司,CN-2015-5300830,2015/10/24,标准级,￥188
29%,1,Bush,"Bush 搁架, 黑色","￥1,401",2015/6/2,中国,华北,秦皇岛,书架,洪康,0%,6,河北,家具,消费者,CN-2015-2720607,2015/5/29,标准级,"￥4,833"
30%,1,罗技,"罗技 键区, 实惠",￥389,2015/5/26,中国,华东,烟台,配件,周柏,0%,6,山东,技术,小型企业,CN-2015-3922494,2015/5/23,二级,"￥1,297"
13%,1,Boston,"Boston 画布, 蓝色",￥162,2015/5/26,中国,华东,烟台,美术,周柏,0%,5,山东,办公用品,小型企业,CN-2015-3922494,2015/5/23,二级,"￥1,252"
7%,1,Safco,"SAFCO 凳子, 黑色",￥139,2015/11/2,中国,中南,深圳,椅子,田丽娜,10%,3,广东,家具,公司,CN-2015-4687313,2015/10/29,标准级,"￥2,085"
49%,1,Eaton,"Eaton 信纸, 回收",￥721,2015/10/23,中国,华北,天津,纸张,薛博,0%,7,天津,办公用品,消费者,CN-2015-5359666,2015/10/23,当日,"￥1,473"
22%,1,GlobeWeis,"GlobeWeis 商业信封, 银色",￥81,2015/10/23,中国,华北,天津,信封,薛博,0%,4,天津,办公用品,消费者,CN-2015-5359666,2015/10/23,当日,￥368
-320%,1,BIC,"BIC 记号笔, 混合尺寸",-￥709,2015/6/7,中国,中南,武汉,美术,李康,80%,8,湖北,办公用品,消费者,US-2015-2995973,2015/6/1,标准级,￥221
10%,1,Jiffy,"Jiffy 外皮和封条, 回收",￥9,2015/5/7,中国,中南,东莞,信封,胡凤,0%,1,广东,办公用品,消费者,CN-2015-1070056,2015/5/4,一级,￥88
-2%,1,Accos,"Accos 夹子, 每包 12 个",-￥4,2016/5/19,中国,西南,成都,系固件,林谦,40%,4,四川,办公用品,消费者,CN-2016-1726701,2016/5/15,二级,￥211
16%,1,Cardinal,"Cardinal 装订机, 透明",￥18,2016/5/19,中国,西南,成都,装订机,林谦,40%,3,四川,办公用品,消费者,CN-2016-1726701,2016/5/15,二级,￥112
45%,1,Novimex,"Novimex 运输标签, 耐用",￥71,2016/5/19,中国,西南,成都,标签,林谦,0%,3,四川,办公用品,消费者,CN-2016-1726701,2016/5/15,二级,￥159
12%,1,SanDisk,"SanDisk 鼠标, 实惠",￥150,2016/12/30,中国,中南,深圳,配件,常刚,0%,7,广东,技术,消费者,CN-2016-1951831,2016/12/26,标准级,"￥1,251"
33%,1,惠普,"惠普 无线传真机, 红色","￥7,726",2016/12/30,中国,中南,深圳,复印机,常刚,0%,14,广东,技术,消费者,CN-2016-1951831,2016/12/26,标准级,"￥23,416"
49%,1,Novimex,"Novimex 折叠椅, 可调","￥1,355",2016/1/1,中国,东北,四平,椅子,傅晨,0%,7,吉林,家具,公司,CN-2015-4875771,2015/12/27,标准级,"￥2,768"
-33%,1,Breville,"Breville 烤面包机, 银色",-￥145,2017/1/29,中国,华东,张家港,器具,任婵娟,40%,2,江苏,办公用品,公司,CN-2017-2313079,2017/1/29,当日,￥434
42%,1,Harbour Creations,"Harbour Creations 折叠椅, 红色",￥384,2015/11/26,中国,东北,哈尔滨,椅子,段杰,0%,2,黑龙江,家具,公司,CN-2015-2584532,2015/11/22,标准级,￥914
11%,1,Accos,"Accos 订书钉, 整包",￥18,2015/11/30,中国,西南,成都,系固件,邱刚,40%,5,四川,办公用品,公司,CN-2015-5378913,2015/11/26,标准级,￥153
15%,1,Safco,"SAFCO 沙滩椅, 每套两件",￥152,2015/11/30,中国,西南,成都,椅子,邱刚,40%,7,四川,家具,公司,CN-2015-5378913,2015/11/26,标准级,"￥1,013"
-45%,1,Acme,"Acme 美工刀, 蓝色",-￥95,2015/11/30,中国,西南,成都,用品,邱刚,40%,2,四川,办公用品,公司,CN-2015-5378913,2015/11/26,标准级,￥212
13%,1,Hoover,"Hoover 烤面包机, 黑色",￥93,2015/11/30,中国,西南,成都,器具,邱刚,40%,3,四川,办公用品,公司,CN-2015-5378913,2015/11/26,标准级,￥698
25%,1,Avery,"Avery 合法证物标签, 白色",￥66,2015/11/30,中国,西南,成都,标签,邱刚,0%,5,四川,办公用品,公司,CN-2015-5378913,2015/11/26,标准级,￥265
48%,1,Eaton,"Eaton 羊皮纸, 优质",￥30,2015/11/30,中国,西南,成都,纸张,邱刚,0%,1,四川,办公用品,公司,CN-2015-5378913,2015/11/26,标准级,￥63
2%,1,Green Bar,"Green Bar 计划信息表, 优质",￥8,2017/5/28,中国,中南,长沙,纸张,顾升,0%,4,湖南,办公用品,小型企业,CN-2017-1573785,2017/5/26,二级,￥444
5%,1,Eaton,"Eaton 羊皮纸, 回收",￥12,2017/5/28,中国,中南,长沙,纸张,顾升,0%,4,湖南,办公用品,小型企业,CN-2017-1573785,2017/5/26,二级,￥250
49%,1,Elite,"Elite 开信刀, 钢",￥244,2014/11/11,中国,西南,合川,用品,周冬露,0%,4,重庆,办公用品,消费者,CN-2014-3529472,2014/11/8,二级,￥498
29%,1,Avery,"Avery 合法证物标签, 耐用",￥63,2014/10/13,中国,西北,兰州,标签,柯娜,0%,4,甘肃,办公用品,消费者,CN-2014-1786532,2014/10/8,标准级,￥219
13%,1,宜家,"宜家 柜, 金属",￥159,2014/10/13,中国,西北,兰州,书架,柯娜,40%,3,甘肃,家具,消费者,CN-2014-1786532,2014/10/8,标准级,"￥1,192"
49%,1,GlobeWeis,"GlobeWeis 外皮和封条, 红色",￥285,2014/10/13,中国,西北,兰州,信封,柯娜,0%,5,甘肃,办公用品,消费者,CN-2014-1786532,2014/10/8,标准级,￥582
49%,1,Fiskars,"Fiskars 修剪器, 蓝色",￥97,2016/10/1,中国,中南,郑州,用品,秦黎明,0%,1,河南,办公用品,公司,CN-2016-3284718,2016/9/24,标准级,￥197
31%,1,苹果,"苹果 充电器, 整包",￥921,2016/10/1,中国,中南,郑州,电话,秦黎明,0%,1,河南,技术,公司,CN-2016-3284718,2016/9/24,标准级,"￥2,969"
9%,1,佳能,"佳能 墨水, 彩色",￥312,2016/10/1,中国,中南,郑州,复印机,秦黎明,0%,5,河南,技术,公司,CN-2016-3284718,2016/9/24,标准级,"￥3,467"
